,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,2.66,6.224
1,CLS_feats,blocks.1,8.068,16.758
2,CLS_feats,blocks.2,11.7,22.416
3,CLS_feats,blocks.3,12.166,23.302
4,CLS_feats,blocks.4,15.196,28.122
5,CLS_feats,blocks.5,16.408,30.004
6,CLS_feats,blocks.6,20.168,35.91
7,CLS_feats,blocks.7,22.458,39.56
8,CLS_feats,blocks.8,31.344,51.162
9,CLS_feats,blocks.9,42.478,63.508
10,CLS_feats,blocks.10,39.41,60.2
11,CLS_feats,blocks.11,46.12,66.972
12,GAP_WO_CLS_feats,blocks.0,5.366,11.588
13,GAP_WO_CLS_feats,blocks.1,8.338,17.076
14,GAP_WO_CLS_feats,blocks.2,10.934,21.556
15,GAP_WO_CLS_feats,blocks.3,12.714,24.536
16,GAP_WO_CLS_feats,blocks.4,15.866,29.388
17,GAP_WO_CLS_feats,blocks.5,18.764,34.112
18,GAP_WO_CLS_feats,blocks.6,21.33,37.868
19,GAP_WO_CLS_feats,blocks.7,28.528,47.846
20,GAP_WO_CLS_feats,blocks.8,34.6,54.832
21,GAP_WO_CLS_feats,blocks.9,40.024,60.686
22,GAP_WO_CLS_feats,blocks.10,43.3,63.856
23,GAP_WO_CLS_feats,blocks.11,45.362,65.64
24,GAP_feats,blocks.0,5.376,11.594
25,GAP_feats,blocks.1,8.362,17.092
26,GAP_feats,blocks.2,10.942,21.566
27,GAP_feats,blocks.3,12.714,24.524
28,GAP_feats,blocks.4,15.868,29.366
29,GAP_feats,blocks.5,18.772,34.122
30,GAP_feats,blocks.6,21.348,37.854
31,GAP_feats,blocks.7,28.496,47.834
32,GAP_feats,blocks.8,34.63,54.854
33,GAP_feats,blocks.9,40.022,60.698
34,GAP_feats,blocks.10,43.34,63.868
35,GAP_feats,blocks.11,45.314,65.634
36,linear,classifier,62.304,82.856
